Name;Date;Province;Type;Moved Date From
Año nuevo;01-01-2019;Álava;Nacional;
San José;19-03-2019;Álava;Autonómica;
Viernes Santo;19-04-2019;Álava;Nacional;
Jueves Santo;18-04-2019;Álava;Autonómica;
Lunes de Pascua;22-04-2019;Álava;Autonómica;
San Prudencio;29-04-2019;Álava;Local;28-04-2019
Fiesta del Trabajo;01-05-2019;Álava;Nacional;
Santiago Apóstol;25-07-2019;Álava;Autonómica;
Asunción de la Virgen;15-08-2019;Álava;Nacional;
Virgen Blanca;05-08-2019;Álava;Local;
Fiesta Nacional Española;12-10-2019;Álava;Nacional;
;01-11-2019;Álava;Nacional;
Día de la Constitución Española;06-12-2019;Álava;Nacional;
Natividad del Señor;25-12-2019;Álava;Nacional;
Año nuevo;01-01-2018;Álava;Nacional;
Epifanía del Señor;06-01-2018;Álava;Nacional;
Viernes Santo;30-03-2018;Álava;Nacional;
Jueves Santo;29-03-2018;Álava;Autonómica;
Lunes de Pascua;02-04-2018;Álava;Autonómica;
San Prudencio;28-04-2018;Álava;Local;
Fiesta del Trabajo;01-05-2018;Álava;Nacional;
Asunción de la Virgen;15-08-2018;Álava;Nacional;
Fiesta Nacional Española;12-10-2018;Álava;Nacional;
Día de Todos los Santos;01-11-2018;Álava;Nacional;
Día de la Constitución Española;06-12-2018;Álava;Nacional;
Inmaculada Concepción;08-12-2018;Álava;Nacional;
Navidad;25-12-2018;Álava;Nacional;
Epifanía del Señor;06-01-2017;Álava;Nacional;
Viernes Santo;14-04-2017;Álava;Nacional;
Jueves Santo;13-04-2017;Álava;Autonómica;
Lunes de Pascua;17-04-2017;Álava;Autonómica;
San Prudencio;28-04-2017;Álava;Local;
Día del Trabajo;01-05-2017;Álava;Nacional;
Santiago Apóstol;25-07-2017;Álava;Autonómica;
Asunción de la Virgen;15-08-2017;Álava;Nacional;
Virgen Blanca;05-08-2017;Álava;Local;
Fiesta Nacional Española;12-10-2017;Álava;Nacional;
Día de Todos los Santos;01-11-2017;Álava;Nacional;
Día de la Constitución Española;06-12-2017;Álava;Nacional;
Inmaculada Concepción;08-12-2017;Álava;Nacional;
Natividad del Señor;25-12-2017;Álava;Nacional;
Año nuevo;01-01-2016;Álava;Nacional;
Epifanía del Señor;06-01-2016;Álava;Nacional;
Viernes Santo;25-03-2016;Álava;Nacional;
Jueves Santo;24-03-2016;Álava;Autonómica;
Lunes de Pascua;28-03-2016;Álava;Autonómica;
San Prudencio;28-04-2016;Álava;Local;
Santiago Apóstol;25-07-2016;Álava;Autonómica;
Asunción de la Virgen;15-08-2016;Álava;Nacional;
Virgen Blanca;05-08-2016;Álava;Local;
Fiesta Nacional Española;12-10-2016;Álava;Nacional;
80º Aniversario primer Gobierno Vasco;07-10-2016;Álava;Autonómica;
Día de Todos los Santos;01-11-2016;Álava;Nacional;
Día de la Constitución Española;06-12-2016;Álava;Nacional;
Inmaculada Concepción;08-12-2016;Álava;Nacional;
Año nuevo;01-01-2015;Álava;Nacional;
Epifanía del Señor;06-01-2015;Álava;Nacional;
San José;19-03-2015;Álava;Autonómica;
Viernes Santo;03-04-2015;Álava;Nacional;
Jueves Santo;02-04-2015;Álava;Autonómica;
Lunes de Pascua;06-04-2015;Álava;Autonómica;
San Prudencio;28-04-2015;Álava;Local;
Día del trabajo;01-05-2015;Álava;Nacional;
Santiago Apostol;25-07-2015;Álava;Autonómica;
Asunción de la Virgen;15-08-2015;Álava;Nacional;
Virgen Blanca;05-08-2015;Álava;Local;
Fiesta Nacional Española;12-10-2015;Álava;Nacional;
Inmaculada Concepción;08-12-2015;Álava;Nacional;
Natividad del Señor;25-12-2015;Álava;Nacional;
Año nuevo;01-01-2014;Álava;Nacional;
Epifanía del Señor;06-01-2014;Álava;Nacional;
Viernes Santo;18-04-2014;Álava;Nacional;
Jueves Santo;17-04-2014;Álava;Autonómica;
Lunes de Pascua;21-04-2014;Álava;Autonómica;
San Prudencio;28-04-2014;Álava;Local;
Festividad del trabajo;01-05-2014;Álava;Nacional;
Santiago Apóstol;25-07-2014;Álava;Local;
Asunción de la Virgen;15-08-2014;Álava;Nacional;
Virgen Blanca;05-08-2014;Álava;Local;
Día de Todos los Santos;01-11-2014;Álava;Nacional;
Día de la Constitución Española;06-12-2014;Álava;Nacional;
Inmaculada Concepción;08-12-2014;Álava;Nacional;
Navidad;25-12-2014;Álava;Nacional;
Año nuevo;01-01-2013;Álava;Nacional;
Viernes Santo;29-03-2013;Álava;Nacional;
Jueves Santo;28-03-2013;Álava;Autonómica;
Lunes de Pascua;01-04-2013;Álava;Autonómica;
Día del trabajo;01-05-2013;Álava;Nacional;
Fiesta de Territorio Histórico;24-06-2013;Álava;Local;
Santiago Apostol;25-07-2013;Álava;Autonómica;
Asunción de la Virgen;15-08-2013;Álava;Nacional;
Virgen Blanca;05-08-2013;Álava;Local;
Fiesta Nacional Española;12-10-2013;Álava;Nacional;
